marka,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
skoda, Kamiq,2019.0,21990.0,Semi-Auto,563.0,Diesel,145.0,52.3,1.6
audi, Q5,2016.0,20498.0,Semi-Auto,33657.0,Diesel,200.0,47.1,2.0
vw, Touareg,2019.0,39995.0,Semi-Auto,7000.0,Diesel,145.0,34.5,3.0
toyota, Aygo,2019.0,8690.0,Manual,2438.0,Petrol,145.0,56.5,1.0
ford, S-MAX,2020.0,34498.0,Semi-Auto,4623.0,Diesel,145.0,43.5,2.0
vauxhall, Zafira,2013.0,6495.0,Manual,51503.0,Diesel,145.0,55.4,2.0
ford, Focus,2019.0,14450.0,Manual,7952.0,Petrol,145.0,58.9,1.0
bmw, X3,2017.0,21750.0,Automatic,25776.0,Diesel,200.0,47.9,3.0
merc, CLS Class,2019.0,45799.0,Semi-Auto,164.0,Petrol,145.0,31.4,2.0
vw, Polo,2017.0,10161.0,Manual,27366.0,Petrol,145.0,60.1,1.2
skoda, Karoq,2018.0,19999.0,Automatic,18000.0,Petrol,150.0,50.4,1.5
vw, Up,2013.0,5500.0,Manual,23084.0,Petrol,20.0,62.8,1.0
ford, Fiesta,2018.0,12495.0,Manual,15500.0,Petrol,150.0,58.9,1.0
ford, Fiesta,2017.0,9400.0,Manual,9405.0,Petrol,145.0,54.3,1.2
ford, Focus,2019.0,19180.0,Manual,7008.0,Petrol,145.0,60.1,1.0
vw, Polo,2016.0,7195.0,Manual,46850.0,Petrol,20.0,60.1,1.0
focus, Focus,2015.0,5795.0,Manual,105260.0,Petrol,145.0,54.3,1.0
vw, T-Roc,2018.0,22052.0,Automatic,6012.0,Petrol,145.0,39.8,1.5
audi, A4,2019.0,26990.0,Automatic,5212.0,Diesel,145.0,49.6,2.0
audi, Q2,2019.0,24990.0,Semi-Auto,6042.0,Petrol,145.0,42.2,1.5
vw, T-Roc,2019.0,21490.0,Manual,7052.0,Petrol,150.0,42.2,1.5
audi, A3,2017.0,19995.0,Semi-Auto,36355.0,Diesel,30.0,61.4,2.0
ford, Fiesta,2018.0,11500.0,Manual,7225.0,Petrol,145.0,58.9,1.0
vw, Sharan,2018.0,17290.0,Manual,44000.0,Diesel,145.0,56.5,2.0
focus, Focus,2019.0,16998.0,Manual,13998.0,Petrol,145.0,54.3,1.0
merc, E Class,2020.0,38399.0,Semi-Auto,1000.0,Diesel,145.0,70.6,2.0
merc, C Class,2015.0,13390.0,Automatic,88218.0,Hybrid,0.0,76.4,2.1
bmw, 1 Series,2016.0,9899.0,Manual,47325.0,Diesel,0.0,83.1,1.5
audi, A1,2019.0,23490.0,Semi-Auto,2568.0,Petrol,145.0,44.8,1.5
unclean cclass, C Class,2009.0,6995.0,Automatic,42000.0,30,145.0,54.3,1.6
unclean focus, Focus,2018.0,11000.0,Manual,48961.0,Petrol,145.0,54.3,1.6
merc, B Class,2019.0,22699.0,Semi-Auto,12706.0,Petrol,145.0,45.6,1.3
merc, GLE Class,2016.0,29990.0,Semi-Auto,63250.0,Diesel,145.0,32.5,3.0
bmw, M5,2019.0,73990.0,Automatic,1501.0,Petrol,145.0,24.1,4.4
bmw, 3 Series,2016.0,17640.0,Semi-Auto,28590.0,Diesel,145.0,56.5,3.0
toyota, Yaris,2018.0,10995.0,Manual,11112.0,Petrol,145.0,58.9,1.5
toyota, Aygo,2019.0,9391.0,Manual,3.0,Petrol,145.0,56.5,1.0
audi, A5,2018.0,23995.0,Manual,13500.0,Diesel,145.0,64.2,2.0
toyota, Aygo,2017.0,9495.0,Automatic,23378.0,Other,150.0,67.3,1.0
vw, Arteon,2019.0,22499.0,Automatic,5419.0,Petrol,145.0,48.7,1.5
vw, Sharan,2019.0,22990.0,Semi-Auto,9277.0,Diesel,145.0,41.5,2.0
vw, Tiguan,2019.0,31000.0,Automatic,11707.0,Diesel,145.0,35.3,2.0
vw, Golf,2017.0,21990.0,Automatic,35000.0,Petrol,145.0,39.8,2.0
